artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language,user_name,played_at
Dehd,Lucky,7KkaLfkFpMErkarBZivJbP,48,2019,hip pop,0.637,0.722,7,-4.016,1,0.0292,0.114,0.0644,0.0742,0.302,130.632,153415,English,Anugna,2025-02-13T09:34:36.8930Z
One Direction,If I Could Fly,5CRVwXGikmqzoRO6q7FeAg,69,2015,urban contemporary,0.565,0.245,5,-9.132,1,0.0262,0.7809999999999999,0.0,0.0998,0.307,75.055,230320,English,Anugna,2025-02-12T23:29:47.8774Z
Celeste,Lately,7nv4M6OoCpXUPDuuRyUPM9,56,2019,hip pop,0.672,0.279,7,-9.237,0,0.0421,0.402,0.000125,0.0946,0.478,133.625,251886,English,Anugna,2025-02-12T20:16:50.8930Z
Ruel,Younger,2qXicQG06oT0ijKBznpgQv,75,2018,urban contemporary,0.745,0.477,11,-7.706,0,0.088,0.202,0.0,0.12,0.454,136.055,222320,English,Anugna,2025-02-12T13:42:51.8930Z
Nao,Bad Blood,4Iam3vZMJCMltFkK9mNruw,57,2016,urban contemporary,0.494,0.412,5,-5.687,0,0.133,0.639,4.46e-06,0.0631,0.378,113.108,240627,English,Anugna,2025-02-11T17:26:43.8930Z
Dean Lewis,Waves,6w8pFOKn42O418qwcQElZ3,74,2019,urban contemporary,0.518,0.7290000000000001,11,-7.193,0,0.0452,0.183,0.0,0.0643,0.343,156.879,240013,English,Anugna,2025-02-11T04:09:37.8774Z
James Blunt,Cold,2Dpe4Wnm8lQ07nk2SfzvEz,68,2019,urban contemporary,0.593,0.8290000000000001,3,-6.472,1,0.036,0.00861,0.0,0.139,0.4,109.065,208073,English,Anugna,2025-02-11T02:20:27.8930Z
Jacquees,At The Club,0NqZ65jPelNB13gzsvH2Ma,66,2017,hip pop,0.805,0.653,7,-7.0760000000000005,0,0.0829,0.109,0.0,0.074,0.417,92.017,173054,English,Anugna,2025-02-09T15:23:20.8930Z
Khalid,My Bad,1DUSuNhF8P5vUGNPpQiZa5,71,2019,urban contemporary,0.645,0.568,5,-9.127,0,0.0823,0.5429999999999999,0.266,0.257,0.391,84.999,166101,English,Anugna,2025-02-08T19:09:59.8930Z
G-Eazy,No Limit,2DQ1ITjI0YoLFzuADN1ZBW,76,2017,hip pop,0.838,0.7709999999999999,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,245387,English,Anugna,2025-02-08T09:19:23.8930Z
Zucchero,Freedom,70RrIIfbY4OjEdX9xnVr3X,51,2019,hip pop,0.536,0.6729999999999999,5,-5.879,0,0.0549,0.0025,0.0,0.131,0.415,97.981,242337,English,Anugna,2025-02-06T07:54:08.8930Z
Bebe Rexha,I Got You,1FUViuNSldssMIawrOXF2i,62,2016,electropop,0.609,0.887,9,-4.749,0,0.0507,0.0504,4.76e-06,0.09,0.316,97.99,191812,English,Anugna,2025-02-05T21:28:53.8930Z
Lucky Daye,Roll Some Mo,5ym4GENsMc7VbZVYyulq84,28,2018,urban contemporary,0.405,0.508,11,-9.028,1,0.0596,0.258,0.0479,0.142,0.371,74.70100000000002,292885,English,Anugna,2025-02-05T07:36:42.8774Z
The 1975,Somebody Else,4m0q0xQ2BNl9SCAGKyfiGZ,73,2016,electropop,0.618,0.7929999999999999,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,347526,English,Anugna,2025-02-04T15:28:10.8774Z
Major Lazer,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",7LJkGyL4vVrtn1mho7BmtA,57,2017,electropop,0.738,0.8140000000000001,7,-4.414,0,0.0999,0.132,9.64e-06,0.126,0.483,119.041,225850,English,Anugna,2025-02-04T06:54:23.8930Z
The Weeknd,Privilege,26Fqtv4Aa7kyd1WWGHai6A,16,2018,urban contemporary,0.391,0.595,11,-7.093999999999999,0,0.0411,0.913,0.00557,0.145,0.379,93.78,170573,English,Anugna,2025-02-04T05:35:38.8930Z
Sinead Harnett,Pulling Away,1GQ4A17pjvcWTSQVFNccmj,45,2019,urban contemporary,0.7020000000000001,0.481,10,-9.535,1,0.0766,0.305,2.26e-06,0.379,0.319,143.977,199603,English,Anugna,2025-02-03T22:20:27.8930Z
Maroon 5,Don't Wanna Know,0AKejOKlGdiB53QpwAeenO,11,2016,electropop,0.777,0.627,7,-6.142,1,0.0792,0.356,0.0,0.0956,0.444,100.054,214480,English,Anugna,2025-02-03T17:14:33.8930Z
BROCKHAMPTON,WASTE,1cuYCAodLWgzhwE2KFZ8rC,63,2017,urban contemporary,0.416,0.412,9,-11.262,1,0.0361,0.511,0.000423,0.241,0.409,116.84,154406,English,Anugna,2025-02-03T11:31:18.8930Z
6LACK,Free,4vRg1mbhhlF4YyX1JUq1el,25,2017,urban contemporary,0.7509999999999999,0.556,9,-5.066,0,0.043,0.00222,6.09e-06,0.104,0.369,123.98,263013,English,Anugna,2025-02-02T21:51:39.8930Z
Healy,Tucson,5wMfLe1nd26X7EQszhZjly,49,2019,urban contemporary,0.73,0.515,11,-8.632,1,0.139,0.23,0.149,0.134,0.361,77.59899999999998,204124,English,Anugna,2025-02-02T19:18:15.8774Z
