artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language,user_name,played_at
Zuna,Cazal (feat. Miami Yacine),6zo4iy2sdLMWeDf2b7dpPg,45,2017,gangster rap,0.753,0.581,8,-6.4060000000000015,1,0.303,0.151,0.0,0.0973,0.417,89.863,182788,German,Francesca,2025-02-12T23:23:51.8292Z
Gigolo Y La Exce,Igual o Peor,4TdhjtQllxEjOcpgrnlRZr,61,2019,reggaeton,0.6509999999999999,0.609,1,-4.722,1,0.53,0.648,4.1e-06,0.126,0.621,119.71,210831,Spanish,Francesca,2025-02-11T21:39:12.8292Z
KESI,BDK (feat. Gilli),6ZvA8Difc7oFBxfZXJ6JuT,62,2019,hip hop,0.8390000000000001,0.6990000000000001,7,-6.532,0,0.439,0.458,1.02e-05,0.0789,0.669,130.015,173879,French,Francesca,2025-02-11T21:16:25.8292Z
Wisin & Yandel,Callao,3gu0fRSgFuc4FmrtIv0DnC,64,2018,latin hip hop,0.73,0.836,3,-4.277,0,0.0409,0.0073,0.0,0.0371,0.879,92.043,219947,Spanish,Francesca,2025-02-11T00:56:06.8292Z
Haze,Kletter nicht durchs Fenster rein,1ttzorSv4Dzn8U5wuY2tOW,27,2018,gangster rap,0.634,0.7559999999999999,11,-9.018,0,0.272,0.0661,1.21e-05,0.0632,0.643,88.788,195157,German,Francesca,2025-02-09T21:19:07.8292Z
Seven Kayne,A Mi Manera,13wxWKNLmPCPHmmAkpDNcc,55,2019,trap,0.626,0.753,5,-4.5,0,0.0676,0.0533,0.000159,0.252,0.55,160.006,138000,Spanish,Francesca,2025-02-09T13:29:16.8292Z
Malik Montana,Mona Lisa (prod.Dio Mudara),206jQRISTbK1vN8GE4k95S,57,2019,trap,0.7979999999999999,0.591,8,-9.786,1,0.135,0.319,5.99e-06,0.078,0.561,99.954,168000,Polish,Francesca,2025-02-09T05:02:15.8292Z
Samra,95 BPM,6WSwle8wTdJhOGEukwTxWf,75,2019,hip hop,0.6409999999999999,0.8690000000000001,7,-2.9530000000000003,1,0.303,0.0961,0.0,0.382,0.581,94.528,154105,German,Francesca,2025-02-08T06:45:50.8292Z
Jennifer Lopez,Te Guste,0ifLplTQxXkFZKMQpWCHii,59,2018,trap,0.877,0.619,9,-6.692,0,0.233,0.119,0.0,0.088,0.222,138.109,222787,Spanish,Francesca,2025-02-07T16:55:13.8292Z
FMK,Ahora no,1fxwD70zSHgakPFIAC0pz7,0,2018,trap,0.647,0.484,9,-9.76,0,0.0595,0.0339,0.0,0.0496,0.436,139.847,199161,Spanish,Francesca,2025-02-07T01:42:15.8292Z
Los Cadillac's,Me Marcharé (feat. Wisin),2Q2kk3DU9lMeBjdgjvqrXr,48,2015,latin pop,0.715,0.785,5,-6.645,1,0.187,0.108,0.0,0.653,0.527,119.928,243038,Spanish,Francesca,2025-02-04T23:40:45.8292Z
Carlos Vives,Ella Es Mi Fiesta - Remix,0GuLonchqLiGK1zzcrp2ye,57,2015,latin pop,0.594,0.939,1,-3.384,0,0.1369999999999999,0.0543,0.0,0.222,0.569,125.028,191160,Spanish,Francesca,2025-02-04T06:43:29.8292Z
Eladio Carrion,Olvidarte,4opLPmkmAviwAEfeHi39Fc,0,2018,trap,0.8320000000000001,0.386,0,-9.959,1,0.279,0.411,6.88e-06,0.0994,0.4,149.976,115200,Spanish,Francesca,2025-02-03T14:03:04.8292Z
