artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language,user_name,played_at
Maroon 5,Payphone,1XGmzt0PVuFgQYYnV2It7A,78,2012,dance pop,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,231173,English,John Smith,2025-02-13T09:43:20.7352Z
Lauv,Enemies,3JJYIoJ5FyY9E0DGjr7SXF,68,2018,indie poptimism,0.696,0.693,3,-4.64,1,0.044,0.175,0.0,0.122,0.601,126.025,194755,English,John Smith,2025-02-13T09:36:08.7352Z
The Spacies,Slow Mo - Felix Palmqvist Remix,1808VWtrx9NdT5fCHDMC7t,0,2016,indie poptimism,0.513,0.799,4,-3.299,1,0.037,0.387,0.0,0.109,0.348,142.004,202000,English,John Smith,2025-02-13T05:05:58.7352Z
Ava Max,So Am I,0uUNN1nSoUx1A4fkDCWDQ7,83,2019,dance pop,0.682,0.6559999999999999,6,-4.67,1,0.0435,0.0737,0.0,0.353,0.607,130.089,183027,English,John Smith,2025-02-12T21:52:27.7352Z
Martin Jensen,Solo Dance,6HUnnBwYZqcED1eQztxMBN,15,2016,indie poptimism,0.7440000000000001,0.836,6,-2.396,0,0.0507,0.0435,0.0,0.194,0.36,114.965,174933,English,John Smith,2025-02-12T10:43:02.7352Z
Luh Kel,Cold Heart,7hKnJYr6Pi237IknfXRn5K,60,2019,urban contemporary,0.7559999999999999,0.588,3,-7.617000000000001,0,0.0551,0.253,0.0,0.173,0.637,129.882,134689,English,John Smith,2025-02-12T10:34:07.7352Z
Goldroom,Breaks,6IAOkZxfTzpRDL0nAAynjq,0,2016,indie poptimism,0.573,0.733,4,-5.799,0,0.0269,0.0106,0.00069,0.121,0.304,107.975,229827,English,John Smith,2025-02-12T05:28:25.7352Z
Paperwhite,On My Own,5y0wWqRzCBY1MRbguE73Z1,19,2016,indie poptimism,0.61,0.899,7,-5.4620000000000015,1,0.0286,0.00493,0.104,0.168,0.338,112.081,239253,English,John Smith,2025-02-11T20:31:08.7352Z
Maggie Rogers,Alaska,4HfLQJtVT1KiX1eVedDyTm,69,2019,dance pop,0.847,0.386,9,-10.668,0,0.0507,0.411,0.00176,0.108,0.178,104.001,188000,English,John Smith,2025-02-11T03:05:51.7352Z
The Band CAMINO,Daphne Blue,3GzZfni9NCD54x1prgpIYl,13,2019,indie poptimism,0.5670000000000001,0.925,1,-2.775,0,0.0906,0.00239,0.0054,0.348,0.7040000000000001,118.006,182840,English,John Smith,2025-02-10T07:17:03.7352Z
The Black Keys,Howlin' For You,1gBGDhwhekrKYy7gqULf0t,59,2010,indie poptimism,0.708,0.737,11,-6.665,0,0.0943,0.0299,0.0804,0.101,0.476,132.612,191800,English,John Smith,2025-02-09T22:32:42.7352Z
for KING & COUNTRY,joy. (R3HAB Remix),1BmdqDrBU5eohtRwHBls6C,56,2019,dance pop,0.75,0.81,0,-4.607,0,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500,English,John Smith,2025-02-07T07:19:10.7352Z
The Kooks,No Pressure,3Dgm3Eaw7mBjYrGxdZxfjl,52,2018,indie poptimism,0.505,0.674,2,-3.918,1,0.0304,0.103,0.0,0.723,0.332,120.164,216617,English,John Smith,2025-02-06T18:17:26.7352Z
Stackztootrill,Double Cup,6yzgzTwiaVDs909ZWVibXM,11,2015,urban contemporary,0.6579999999999999,0.599,2,-6.231,1,0.0537,0.00371,0.0,0.0814,0.25,111.922,280295,English,John Smith,2025-02-06T03:16:59.7352Z
Little Mix,Shout Out to My Ex,6wZ8kvKP9d1MKlNFTMZrBK,8,2016,indie poptimism,0.774,0.7390000000000001,0,-4.022,1,0.0952,0.0316,5.95e-06,0.119,0.823,126.002,246240,English,John Smith,2025-02-05T02:16:35.7352Z
Future Islands,Seasons (Waiting On You),41X9To0bQ4fpoSRri4NHiI,66,2014,dance pop,0.498,0.721,10,-5.232,1,0.0282,0.136,0.7,0.0933,0.589,140.02700000000002,226440,English,John Smith,2025-02-04T15:50:40.7352Z
