artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language,user_name,played_at
DVBBS,Raveology - Original Mix,50OhCsebXohKShtewXIDKq,0,2014,big room,0.634,0.99,9,-3.035,1,0.0714,0.0164,0.785,0.0834,0.573,127.983,262515,Danish,Marjah,2025-02-12T09:43:13.2975Z
Hanybal,Is' mir egal,0bOwePluW3m4oMa9LR7kdy,0,2015,gangster rap,0.63,0.741,9,-6.712999999999999,1,0.226,0.106,0.0,0.141,0.654,89.82799999999997,174693,German,Marjah,2025-02-11T20:15:51.2975Z
Feindflug,Ersatzteil,0uLdF7n18IFclndsRWaqx0,0,2008,electropop,0.601,0.957,7,-5.598,1,0.0409,0.000244,0.904,0.106,0.332,135.00799999999998,310333,German,Marjah,2025-02-11T13:33:48.2975Z
Die Atzen,BALLERN,264NgKAWb7Q9PwWXtvguaD,61,2019,big room,0.731,0.912,11,-5.04,1,0.0397,0.0147,4.78e-05,0.247,0.255,124.986,145893,German,Marjah,2025-02-10T17:52:52.2975Z
Kurdo,Mike Tyson - Bonustrack,2dRuZopi29Ob4jsxdESrcf,35,2017,gangster rap,0.675,0.705,2,-4.35,0,0.264,0.276,0.0,0.119,0.672,85.064,198400,German,Marjah,2025-02-09T12:58:23.2975Z
Haftbefehl,Saudi Arabi Money Rich - Babos Remix,0l8muCpDUF4r5xFZOPf0Fk,32,2014,gangster rap,0.478,0.799,10,-5.2860000000000005,1,0.199,0.0109,0.0,0.458,0.493,172.105,213827,German,Marjah,2025-02-09T03:34:40.2975Z
Dimitri Vegas & Like Mike,Untz Untz,5Uj0VnayJKOuP9GmmDPNOx,65,2019,progressive electro house,0.6779999999999999,0.967,0,-5.296,1,0.089,0.00596,0.73,0.0694,0.31,138.019,198584,German,Marjah,2025-02-08T16:07:57.2975Z
LOOPERS,Blaze It Up,5qvGIVwLPiqAyJuohXwvSM,31,2017,electro house,0.696,0.938,7,-4.011,1,0.0943,0.00211,0.231,0.0812,0.4270000000000001,128.048,185226,Croatian,Marjah,2025-02-08T10:27:17.2975Z
Hardwell,The Underground,3QjCmtOcE0GoiExw1XXcjw,58,2018,big room,0.4970000000000001,0.944,1,-3.701,1,0.0451,0.000186,0.333,0.483,0.318,150.024,179200,German,Marjah,2025-02-08T03:34:06.2975Z
Xabski,Ludo,1jqnsryYIlRHMymkt4EM8G,51,2019,hip hop,0.626,0.62,1,-8.725,0,0.0834,0.243,1.04e-06,0.105,0.277,103.443,194633,Danish,Marjah,2025-02-08T03:25:07.2975Z
Agonoize,Femme Fatale,4CBgcRYGyWjGGaSFuPJChO,0,2007,electropop,0.609,0.988,11,-6.653,1,0.047,0.00484,0.768,0.158,0.489,136.004,304973,German,Marjah,2025-02-06T00:01:25.2975Z
DJ Snake,Bird Machine,0J67SeAqemmeTxZ5K4X33E,44,2013,trap,0.7190000000000001,0.6679999999999999,7,-6.35,1,0.0479,0.000352,0.498,0.0851,0.166,99.995,198000,German,Marjah,2025-02-05T14:57:17.2975Z
Payy,Speedboat,3qBHrfOyCLOs3Oe2a9BN9H,17,2018,gangster rap,0.624,0.474,9,-11.396,1,0.384,0.156,1.25e-05,0.0808,0.482,129.309,138261,German,Marjah,2025-02-04T22:15:46.2975Z
Martin Garrix,Forbidden Voices,2BF1X5nkYYSb0AUTRaGkDm,5,2015,electro house,0.534,0.711,10,-5.9270000000000005,0,0.0368,0.05,0.0031,0.135,0.3,128.102,230635,Hungarian,Marjah,2025-02-03T12:57:43.2975Z
Hemso,Bandit,0LIBpB6hgEmPyWaMoaMfBQ,52,2018,gangster rap,0.723,0.65,8,-7.521,1,0.64,0.275,0.0,0.322,0.755,93.795,202000,German,Marjah,2025-02-02T21:21:00.2975Z
Manuellsen,Friedhof der Kuscheltiere,0XWUWw7ovSHf1YFuwH3GVD,28,2015,gangster rap,0.506,0.899,7,-6.299,1,0.393,0.00962,0.0,0.379,0.517,81.161,175107,German,Marjah,2025-02-01T23:44:54.2975Z
Kollegah,Bossaura,5v0YIZrodtd3zeC5voI2by,0,2011,gangster rap,0.579,0.826,10,-5.009,0,0.342,0.138,0.0,0.147,0.311,87.728,364720,German,Marjah,2025-02-01T20:10:42.2975Z
