artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language,user_name,played_at
Mc Th,Deixa,4zZ2rPOa8itw3VuusVSicv,72,2019,trap,0.7120000000000001,0.638,3,-4.551,0,0.181,0.3,0.0,0.0929,0.887,94.828,161684,Portuguese,Riley Jones,2025-02-13T11:42:45.8673Z
Mata,Biblioteka Trap,6qO9lB5HScamYEOddv0Km0,64,2019,trap,0.642,0.7170000000000001,1,-7.342,1,0.163,0.0945,6.01e-06,0.107,0.156,148.145,215676,Polish,Riley Jones,2025-02-11T16:26:32.8673Z
Arcangel,Infeliz,4z6wo6PJG4Fve45OXK6D9m,84,2019,trap,0.713,0.7979999999999999,1,-3.147,1,0.219,0.366,4.3e-06,0.246,0.721,176.07299999999995,221103,Spanish,Riley Jones,2025-02-11T15:44:55.8673Z
potsu,bossa uh,0CNuKKi6MHrr8DqYtpzbCD,50,2019,tropical,0.505,0.355,7,-12.963,1,0.092,0.474,0.00471,0.0949,0.162,159.862,210058,Vietnamese,Riley Jones,2025-02-11T08:36:52.8673Z
Control Machete,Ileso,401Wpcw5VRjNOmsPpvKlfJ,30,1999,gangster rap,0.485,0.897,10,-8.372,1,0.494,0.064,0.0064,0.64,0.507,89.363,381187,Spanish,Riley Jones,2025-02-10T21:24:54.8673Z
Dalua,Dripping,19BehVEfgzWdksWM3WAdqO,39,2019,trap,0.639,0.384,10,-14.283,0,0.234,0.359,0.0,0.126,0.755,135.903,197693,Portuguese,Riley Jones,2025-02-10T10:17:28.8673Z
Kollegah,Ostblocknutten,4WnwGiP22c2TwC1kaiDHzQ,0,2010,gangster rap,0.506,0.7290000000000001,8,-7.317,1,0.265,0.31,0.0,0.119,0.522,93.558,159573,German,Riley Jones,2025-02-10T00:18:02.8673Z
Rels B,OTRO CHEKE,1zzaawknHz9bMofpqN1wVS,66,2019,trap,0.8490000000000001,0.521,2,-7.0870000000000015,1,0.236,0.199,1.28e-06,0.108,0.623,150.017,180800,Spanish,Riley Jones,2025-02-08T22:06:39.8673Z
Polo & Pan,Canopée,260V7huyJrXnyYe0dFv2Fa,66,2017,tropical,0.7040000000000001,0.6920000000000001,5,-6.558,0,0.0304,0.0942,0.0109,0.0922,0.369,96.005,276293,French,Riley Jones,2025-02-07T07:02:15.8673Z
Clara Lima,Talvez Bem Mais,3Z1Xc4igRjuW1jAw2BSm2d,39,2019,trap,0.75,0.696,8,-6.025,0,0.146,0.618,4.79e-05,0.15,0.65,149.94299999999996,205924,Portuguese,Riley Jones,2025-02-07T05:40:39.8673Z
PA Sports,HSHC,27lm3yIbCVK72Sxzg2bC2q,1,2017,gangster rap,0.5579999999999999,0.637,2,-5.702999999999999,1,0.18,0.013,0.0,0.0677,0.287,86.833,180787,German,Riley Jones,2025-02-07T01:21:22.8673Z
Maluma,HP,31UjYv5vLsDkzchJOtUMtW,23,2019,trap,0.8370000000000001,0.7909999999999999,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,Spanish,Riley Jones,2025-02-05T20:32:19.8673Z
Kalli,Kallidade,2G7vVF2QPQtlnQ7EQntij8,69,2019,trap,0.7829999999999999,0.483,1,-8.963,1,0.127,0.212,0.0,0.185,0.299,100.036,158400,Portuguese,Riley Jones,2025-02-05T01:24:30.8673Z
187 Strassenbande,Mit Dem Kopf Durch Die Wand,4eWjRezM47ITKWpB5r2jVv,0,2009,gangster rap,0.5710000000000001,0.616,11,-6.032,0,0.36,0.165,0.0,0.541,0.6679999999999999,86.801,218053,German,Riley Jones,2025-02-04T03:24:22.8673Z
Ufo361,Balenciaga,3H8n2CHfv2tV1UYsIO0OwG,50,2018,gangster rap,0.755,0.5539999999999999,7,-7.449,0,0.106,0.122,0.000377,0.109,0.178,137.075,200821,German,Riley Jones,2025-02-03T16:24:11.8673Z
Fuego,Sigo Fresh,4qajjURlmtTy1dRrZ3qowl,61,2019,trap,0.716,0.562,5,-6.739,0,0.0641,0.477,0.0,0.0649,0.58,127.053,190253,Spanish,Riley Jones,2025-02-02T14:29:31.8673Z
