artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language,user_name,played_at
Harold Faltermeyer,"Axel F - From ""Beverly Hills Cop"" Soundtrack",090rX2ouW974AT3dFCxJpc,38,2010,album rock,0.7959999999999999,0.629,1,-12.217,1,0.077,0.0525,0.928,0.0934,0.55,117.499,180373,Romanian,Danny,2025-02-13T12:58:26.8396Z
CHANMINA,Never Grow Up,6GwzaIVJL5DEimt18lokq9,54,2019,dance pop,0.805,0.858,10,-4.532,1,0.059,0.145,2.660000000000001e-05,0.0686,0.483,105.021,196253,Japanese,Danny,2025-02-12T19:47:45.8396Z
Chester Nebro,My Gang,0rOAtBvCSsHDWxMlev6Bil,21,2019,gangster rap,0.75,0.76,3,-5.35,0,0.0457,0.00975,0.0,0.124,0.487,127.955,213867,Russian,Danny,2025-02-12T13:49:03.8396Z
BVNDIT,Dumb,1PNb8pRsZGa8XN1m5nJe70,59,2019,dance pop,0.652,0.8370000000000001,1,-3.104,0,0.0723,0.0976,0.0,0.0844,0.562,108.042,190903,Somali,Danny,2025-02-11T07:12:45.8396Z
Badshah,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",6q9XTgfWilsnyiFofvYrIF,71,2019,latin pop,0.7879999999999999,0.87,9,-5.2170000000000005,1,0.177,0.123,1.4300000000000004e-05,0.0692,0.884,109.974,182739,Hindi,Danny,2025-02-10T14:21:36.8396Z
Sade,Punch Drunk,7jsTBebfjKpkMaS8Ny12Un,33,1985,new jack swing,0.516,0.343,0,-11.852,1,0.0394,0.168,0.696,0.0905,0.376,177.108,324986,Romanian,Danny,2025-02-10T07:04:10.8396Z
Party Favor,Bap U,4Ijr3J0lnLCGZvpXBiqCjU,59,2014,trap,0.6679999999999999,0.953,8,-1.784,0,0.0386,0.0193,0.000118,0.0834,0.254,100.001,168207,Turkish,Danny,2025-02-10T02:10:48.8396Z
Relax Meditate Sleep,Borneo Jungle Oasis For Deep Sleep With Nature Sound,3BzfDBrjyvLLyDnhTynkOM,1,2009,tropical,0.418,0.499,6,-20.217,0,0.345,0.39,0.464,0.248,0.0718,140.79,360098,Romanian,Danny,2025-02-09T03:12:58.8396Z
Steve Aoki,"Shakalaka (Steve Aoki, Deorro, MAKJ & Max Styler)",0KmJ45CPuHMQpNMY42xDUl,57,2018,progressive electro house,0.451,0.966,0,-2.061,1,0.133,0.0235,0.146,0.787,0.479,109.472,176571,Somali,Danny,2025-02-08T14:23:23.8396Z
DEAN FUJIOKA,Made In JPN,5SubtShpNoLYiVG4oLSpOG,36,2019,dance pop,0.621,0.614,6,-5.4110000000000005,1,0.0539,0.0462,1.8e-06,0.0452,0.727,200.012,210134,Japanese,Danny,2025-02-07T18:13:15.8396Z
