artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language,user_name,played_at
Still Fresh,Mon ami,7eqKxh6djiu1NqW6GMjHIJ,50,2017,urban contemporary,0.728,0.742,5,-5.382999999999999,0,0.251,0.393,0.0,0.119,0.231,96.948,195850,French,Sophie,2025-02-11T15:57:57.2055Z
America,Ventura Highway,4IU1RL4BKvFyXtbTwaHAvW,69,1972,album rock,0.6729999999999999,0.581,2,-10.205,1,0.029,0.223,0.000206,0.063,0.818,130.77100000000002,211387,Italian,Sophie,2025-02-11T04:59:54.2211Z
PNL,Bené,00X2yv2vrtritPt2CZnUTZ,62,2016,urban contemporary,0.784,0.7,7,-7.649,0,0.108,0.491,0.0,0.108,0.769,82.02799999999998,190067,French,Sophie,2025-02-10T09:13:51.2211Z
MZ,Pause,6M89rUmahiH0eO6MzctgXW,38,2016,urban contemporary,0.727,0.608,3,-7.032,0,0.152,0.26,0.0,0.156,0.465,115.003,272080,French,Sophie,2025-02-09T17:00:27.2055Z
Rim'K,Monster,5y4lPlCFkhlUsOUcX3fgOB,0,2016,urban contemporary,0.789,0.629,10,-4.941,0,0.0618,0.154,0.0,0.0864,0.487,123.95,179107,French,Sophie,2025-02-09T13:44:07.2211Z
Rim'K,Stupéfiant,0DMUrG0gEPjMhn3G3hkC4r,0,2016,urban contemporary,0.406,0.965,11,-4.1930000000000005,0,0.693,0.189,0.0,0.0988,0.563,174.17700000000005,236360,French,Sophie,2025-02-09T09:18:02.2055Z
Damso,Débrouillard,1trTuC1Z6KwXyb6qigNr7l,0,2016,urban contemporary,0.809,0.667,11,-5.997000000000001,1,0.231,0.208,0.0,0.131,0.358,120.015,245173,French,Sophie,2025-02-09T09:00:12.2211Z
Ol Kainry,Rentlé dédans,5TaUFurySBvMqnQWPnz2Rk,0,2016,urban contemporary,0.444,0.85,8,-6.01,1,0.286,0.0447,0.0,0.0938,0.222,129.046,240000,French,Sophie,2025-02-08T08:49:09.2055Z
Cali,Je m'en vais,0DqMWvzd9AU6z5LBEYSs4r,30,2005,album rock,0.6890000000000001,0.8490000000000001,10,-4.979,0,0.0377,0.217,1.16e-06,0.136,0.8390000000000001,102.013,233720,French,Sophie,2025-02-07T01:58:32.2055Z
Julien Doré,Les limites,7mp3ILyl8RaBLr6zzhPyWD,40,2008,album rock,0.758,0.815,9,-5.358,1,0.0564,0.235,0.0,0.114,0.901,105.991,137813,French,Sophie,2025-02-06T21:35:21.2055Z
MZ,Akwaba,0CzFvaUmfBFKup2KSZ3U7G,32,2016,urban contemporary,0.903,0.5489999999999999,11,-4.266,0,0.245,0.183,0.0,0.241,0.755,118.032,260640,French,Sophie,2025-02-06T15:46:27.2055Z
Falco,Rock Me Amadeus,1Hs3XZxhdpHrOyiZBB4kEK,1,1985,album rock,0.62,0.778,4,-11.061,0,0.121,0.409,0.00258,0.0903,0.912,176.667,203173,German,Sophie,2025-02-05T17:15:08.2211Z
Jarod,Rayonnons,3BTepbd75bloUptVDgz7X9,0,2015,urban contemporary,0.846,0.785,9,-4.363,1,0.188,0.123,0.0,0.959,0.453,116.035,270992,French,Sophie,2025-02-04T20:16:44.2211Z
Ol Kainry,Clubber Lang,0Ce9mMbIqC2rHZJHurL1ga,0,2016,urban contemporary,0.735,0.828,1,-5.27,1,0.359,0.239,0.0,0.852,0.775,111.096,205381,French,Sophie,2025-02-04T18:36:15.2211Z
MC Fioti,Bum Bum Tam Tam,6k2900NjJeVqZM55G3Danu,71,2017,southern hip hop,0.898,0.6990000000000001,1,-3.781,1,0.112,0.336,8.61e-06,0.232,0.64,131.99,213989,Portuguese,Sophie,2025-02-04T11:30:45.2211Z
Adrienne Pauly,J'veux un mec - Marlon B,2r9210ixI5FD7YPopfJXnf,26,2006,album rock,0.754,0.794,9,-5.138999999999999,1,0.107,0.0275,0.0,0.116,0.748,122.049,253493,French,Sophie,2025-02-03T09:12:50.2211Z
Rim'K,Air Max,2XESFfYekQ0mRau2GXjT3E,61,2018,urban contemporary,0.83,0.604,1,-7.23,0,0.425,0.35,0.0,0.098,0.517,141.987,205554,French,Sophie,2025-02-02T04:56:04.2055Z
Rim'K,Everyday,1Vpvd02NU2jFl4eCXkqxxa,0,2016,urban contemporary,0.464,0.851,1,-4.177,1,0.394,0.0323,0.0,0.068,0.472,83.585,210627,French,Sophie,2025-02-01T03:00:38.2211Z
The Rippingtons,Tourist In Paradise,7IXa9vNBLDwqXnZ6gG7h0r,33,2016,album rock,0.605,0.79,7,-6.666,0,0.0288,0.124,0.8440000000000001,0.162,0.6920000000000001,114.055,341093,Italian,Sophie,2025-01-31T20:09:15.2211Z
Willy William,Ego - Radio Edit,1283wAzqC0bPu6Hdkgkqa8,0,2015,southern hip hop,0.742,0.919,8,-2.562,1,0.0316,0.285,0.0106,0.365,0.556,99.999,207600,French,Sophie,2025-01-30T22:00:17.2055Z
Plastiscines,Loser,54V4rnG41aq4tWzs76S2oh,11,2007,album rock,0.535,0.847,2,-3.12,1,0.0322,0.639,0.000745,0.062,0.862,164.97799999999995,140427,French,Sophie,2025-01-29T03:20:31.2211Z
Nekfeu,Laisse aller,1S3hcyx64yhb5AeZ5G4TIa,0,2015,urban contemporary,0.873,0.539,7,-5.649,1,0.315,0.132,0.0,0.124,0.355,100.033,273746,French,Sophie,2025-01-28T17:45:43.2055Z
Rim'K,Alien,66YYA7oZODDy61bE03UoK0,0,2016,urban contemporary,0.478,0.7090000000000001,8,-5.494,1,0.166,0.0333,0.0,0.108,0.317,108.16,251987,French,Sophie,2025-01-27T18:41:04.2211Z
MC Gustta,Abusadamente,7vgNGxchhqDQWjKjLPTPro,65,2017,southern hip hop,0.685,0.648,11,-3.536,0,0.149,0.812,0.0019,0.21,0.389,122.599,215938,Portuguese,Sophie,2025-01-27T04:07:07.2211Z
Jean-Louis Aubert,On vit d'amour,6EhC21cpA8PyzPctiOn0A2,8,2005,album rock,0.5770000000000001,0.642,7,-6.845,1,0.0264,0.352,4.42e-05,0.215,0.391,112.206,216533,French,Sophie,2025-01-26T01:58:25.2055Z
Rammstein,Du hast,6uEvFCaOqXyEidoO8BZbyh,67,1997,hard rock,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105,234227,German,Sophie,2025-01-25T18:44:24.2055Z
Don Omar,Danza Kuduro - Radio Edit,5hxyXBPrfox78jdLaSAjwg,0,2014,southern hip hop,0.6990000000000001,0.899,0,-5.601,1,0.12,0.121,0.0,0.043,0.887,130.102,199197,Portuguese,Sophie,2025-01-25T11:13:23.2055Z
Stromae,Alors On Danse - Radio Edit,6LXRvh3S8TB5P1PKy4lY1S,20,2010,southern hip hop,0.79,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.7140000000000001,119.951,206067,French,Sophie,2025-01-25T09:47:12.2211Z
MZ,Deuboukéhi,6OFSRKtC7tAJZzFjUr1MKE,33,2016,urban contemporary,0.5529999999999999,0.6970000000000001,4,-5.013,0,0.352,0.181,0.0,0.148,0.477,129.80200000000002,269960,French,Sophie,2025-01-24T11:55:54.2211Z
La Fouine,Argent sale,4AVLvyYIK7cWCwKOvq9nIk,26,2016,urban contemporary,0.758,0.6709999999999999,8,-3.93,1,0.0428,0.021,0.0,0.256,0.258,130.009,196413,French,Sophie,2025-01-24T11:31:24.2211Z
MZ,Toi sur moi,1fZjOBoJDc3Mi2OrXxg6cV,30,2016,urban contemporary,0.568,0.62,3,-6.847,0,0.313,0.23,0.0,0.096,0.439,124.098,235547,French,Sophie,2025-01-24T06:30:16.2211Z
La Fouine,Terminus,56JeB4CZ3gQO3cXaI3rFjj,23,2016,urban contemporary,0.767,0.7829999999999999,5,-4.185,0,0.108,0.234,2.01e-06,0.117,0.471,120.042,209933,French,Sophie,2025-01-24T06:28:38.2055Z
Ol Kainry,Hookah,2GdanhIld9atoDB2EWb06a,0,2016,urban contemporary,0.677,0.8340000000000001,11,-5.614,1,0.246,0.129,0.0,0.142,0.8079999999999999,140.029,236529,French,Sophie,2025-01-24T06:15:24.2055Z
Payman,Caramel,0S3Mp5NwMiK9lwNG1v1sGm,41,2018,urban contemporary,0.8540000000000001,0.726,11,-4.599,0,0.0796,0.183,2.13e-05,0.0732,0.76,95.999,203000,German,Sophie,2025-01-24T01:45:45.2211Z
Nekfeu,Martin Eden,6ry1D09ztAEoE11tS6rGBv,0,2015,urban contemporary,0.8079999999999999,0.643,10,-6.167999999999998,0,0.279,0.242,0.0,0.105,0.346,86.044,295213,French,Sophie,2025-01-23T14:12:24.2055Z
Stromae,Papaoutai,09TcIuH1ZO7i4vicWKoaN2,15,2013,southern hip hop,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,232147,French,Sophie,2025-01-23T07:22:37.2211Z
MZ,MD - Radio Edit,4Vjn6MWcGH6gN6waUAXnSE,44,2016,urban contemporary,0.918,0.7829999999999999,9,-5.049,0,0.0823,0.0352,2.01e-06,0.0673,0.851,120.999,290880,French,Sophie,2025-01-22T14:42:15.2211Z
Aya Nakamura,Pookie (feat. Lil Pump) - Remix,1Tk4KVBLxD8CMAy6vJoDF3,66,2019,southern hip hop,0.889,0.6459999999999999,6,-7.2360000000000015,0,0.074,0.0412,0.0,0.0798,0.584,98.005,169687,French,Sophie,2025-01-21T15:04:31.2055Z
